id_attack	name	type_1	type_2	type_3	type_4	type_5	value	text
371	Attract Smack	5	10				30	Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.
372	Aura Break	1	10	10			70	If the Defending Pokémon is a Darkness or Fairy Pokémon, it can't attack during your opponent's next turn.
373	Aura of the Land	8	8	10	10		80	Does 20 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)
374	Aura Sphere	9	9	10			70	This attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
375	Aura Sphere	1	1				40	Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
376	Aura Sphere	1	1				50	Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
377	Aura Sphere	8					30	Does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
378	Aura Strike	1					30+	If this Pokémon evolved from Riolu during this turn, this attack does 90 more damage.
379	Aurora Beam	10	10				20	
380	Aurora Beam	10	10	10			40	
381	Aurora Beam	6	10				20	
382	Aurora Beam	6	10				30	
383	Aurora Beam	6	10	10			40	
384	Aurora Beam	6	10	10			50	
385	Aurora Beam	6	10	10			70	
386	Aurora Beam	6	10	10			80	
387	Aurora Beam	6	6	10			50	
388	Aurora Beam	6	6	10	10		70	
389	Aurora Beam	6	6	6			110	
390	Aurora Beam	6	10	10	10		100	
391	Aurora Beam	9	10	10			80	
392	Aurora Beam	6	6	10			60	
393	Aurora Gain	6	10	10			50	Remove 5 damage counters from Raikou & Suicune LEGEND.
394	Aurora Gain	6	10	10			70	Heal 30 damage from this Pokémon.
395	Aurora Gain	5	10	10			60	Heal 30 damage from this Pokémon.
396	Aurora Horns	9	9	10			120	
397	Aurora Loop	6	6	10			130	Put 2 Water Energy attached to this Pokémon into your hand.
398	Aurora Wave	6	6	6			30	Flip 2 coins. If both are heads, the Defending Pokémon is now Paralyzed. If only 1 is heads, the Defending Pokémon is now Asleep.
399	Aurora Wave	6					30	Your opponent's Active Pokémon is now Confused.
400	Auto Fire	6	10	10			20×	Flip 4 coins. This attack does 20 damage times the number of heads.
401	Avalanche	1	1	1	10		60	
402	Avalanche	6	6	10			70	Flip a coin. If heads, this attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
403	Avalanche	6	6	10	10		60	Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
404	Avalanche	6	6	10			80	This attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
405	Avenge	5						Count the number of your Pokémon that have any damage counters on them. Put that many damage counters on the Defending Pokémon.
406	Avenging Heart	10	10				30+	This attack does 50 more damage for each Prize card your opponent took on their last turn.
407	Axe Slugger	10	10				60+	If the Defending Pokémon is a Colorless Pokémon, this attack does 60 more damage.
408	B Cancel	10					10	Your opponent can't play any Pokémon from his or her hand to evolve the Defending Pokémon during his or her next turn.
409	Baby Outing	10	10					Look at the top 3 cards of your deck, and then choose 1 of those cards and put it in your hand. Shuffle the rest into your deck afterward.
410	Baby-Doll Eyes	10						The Defending Pokémon can't retreat during your opponent's next turn.
411	Baby-Doll Eyes	10						During your opponent's next turn, the Defending Pokémon can't retreat.
412	Back Burner	10						Search your discard pile for up to 2 basic Energy cards and attach them to your Pokémon in any way you like.
413	Backfire	2	2	10			160	Put 2 Fire Energy attached to this Pokémon into your hand.
414	Backfire	2	2	10			160	Put 2 {R} Energy attached to this Pokémon into your hand.
415	Backflip	10						Draw a card.
416	Backspin	10	10	10			40	After your attack, you may discard 1 Energy card attached to Forretress. If you do, switch Forretress with 1 of your Benched Pokémon.
417	Backward Belt Throw	1	1	10	10		80+	You may do 80 damage plus 20 more damage. If you do, Hariyama does 20 damage to itself.
418	Bad Dream	5						Flip a coin. If heads the Defending Pokémon is now Asleep. If tails, the Defending Pokémon is now Confused.
419	Bad Dream	5					10	Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon is now Confused.
420	Bad Fangs	10	10	10			60+	This attack does 20 more damage times the amount of Darkness Energy attached to this Pokémon.
421	Bad News	7						If the number of cards in your opponent's hand is at least 6, choose a number of cards there, without looking, until your opponent has 5 cards left. Have your opponent discard the cards you chose.
422	Bad Temper	10	10				30	The Defending Pokémon is now Confused. During your opponent's next turn, that Pokémon's attacks do 60 more damage to the Active Pokémon (before applying Weakness and Resistance).
423	Bad-Influence Evolution	10						If you have any Darkness Pokémon on your Bench, search your deck for a card that evolves from this Pokémon and put it onto this Pokémon. (This counts as evolving this Pokémon.) Shuffle your deck afterward.
424	Bag Slash	10						Your opponent reveals their hand. Discard an Item card you find there.
425	Bail Out	3						Put 2 Pokémon from your discard pile into your hand.
426	Bail Out	10						Put a Pokémon from your discard pile into your hand.
427	Bail Out	10						Put a Water Pokémon from your discard pile into your hand.
428	Balance Bind	6	10				30	If you and your opponent have the same number of Benched Pokémon, your opponent's Active Pokémon is now Paralyzed.
429	Baleful Night	7	7	7			120	This attack does 30 damage to each of your opponent's Benched Pokémon that has any damage counters on it. (Don't apply Weakness and Resistance for Benched Pokémon.)
430	Baleful Wind	10						Choose a card from your opponent's hand without looking and discard it. If you discarded a Trainer, Supporter, or Stadium card, choose 1 more card from your opponent's hand without looking and discard it.
431	Ball of Flame	2	2				20	You may discard a Energy card attached to Dark Magcargo when you use this attack. If you do and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)
432	Ball Roll	6	10				30×	Flip a coin until you get tails. This attack does 30 damage times the number of heads.
433	Ball Roll	10	10				20×	Flip a coin until you get tails. This attack does 20 damage for each heads.
434	Balloon Attack	10	10				40+	If Igglybuff is anywhere under Wigglytuff, this attack does 40 damage plus 20 more damage.
435	Balloon Barrage	10					20×	This attack does 20 damage times the amount of Energy attached to this Pokémon.
436	Balloon Bomb	10	10					Flip 2 coins. For each heads, discard 2 cards from the top of your opponent's deck.
437	Balloon Burst	5	10				90	Discard this Pokémon and all cards attached to it.
438	Balloon Tackle	5	10				60	Drifblim does 20 damage to itself.
439	Band Attack	3					30×	Does 30 damage times the number of Beedrill you have in play.
440	Bang Heads	10	10				20	Both this Pokémon and the Defending Pokémon are now Confused.
441	Bang Heads	3	3	10			80	Both this Pokémon and the Defending Pokémon are now Confused.
442	Bared Fangs	6					40	If, before this Pokémon does damage, the Defending Pokémon has no damage counters on it, this attack does nothing.
443	Barreling Blitz GX 200+	10	10	10	10		200+	Flip a coin until you get tails. This attack does 40 more damage for each heads. (You can't use more than 1 GX attack in a game.)
444	Barrier	5	5					Discard 1 Energy card attached to Mewtwo in order to use this attack. During your opponent's next turn prevent all effects of attacks including damage done to Mewtwo.
445	Barrier	5	5					Discard 1 Energy card attached to Mewtwo in order to use this attack. During your opponent's next turn, prevent all effects of attacks, including damage, done to Mewtwo.
446	Barrier	5	5					During your opponent's next turn, prevent all effects of attacks, including damage, done to this Pokémon. If 1 of your Pokémon used Barrier during your last turn, this attack can't be used.
447	Barrier Attack	10	10				20	All damage done by attacks to Sabrina's Porygon during your opponent's next turn is reduced by 10 (after applying Weakness and Resistance).
448	Barrier Attack	8					10	During your opponent's next turn, any damage done to Registeel Star by attacks is reduced by 10 (after applying Weakness and Resistance).
449	Barrier Attack	5					30	During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 30 (after applying Weakness and Resistance).
450	Barrier Attack	5	10				20	During your opponent's next turn, any damage done to Deoxys by attacks is reduced by 30 (after applying Weakness and Resistance).
451	Barrier Attack	5	10				30	During your opponent's next turn, any damage done to Mr.Mime by attacks is reduced by 10 (after applying Weakness and Resistance).
452	Barrier Attack	10	10				30	During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance).
453	Barrier Break	2	5	10			70	This attack's damage isn't affected by Weakness, Resistance, or any other effects on the Defending Pokémon.
454	Barrier Break	10	10	10			100	This attack's damage isn't affected by Weakness, Resistance, or any other effects on your opponent's Active Pokémon.
455	Bash In	1	1	10	10		70+	If the Defending Pokémon has a Pokémon Tool card attached to it, this attack does 70 damage plus 60 more damage.
456	Bass Control	10	10					Choose 1 of your opponent's Pokémon. This attack does 20 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
457	Bass Control	10	10					Does 30 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
458	Bass Control	10	10	10				Choose 1 of your opponent's Pokémon. This attack does 40 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
459	Baton Pass	10	10				40	You may switch Furret with 1 of your Benched Pokémon. If you do, move as many Energy cards attached to Furret as you like to the new Active Pokémon.
460	Baton Pass	3	10	10			30	You may switch Yanma with 1 of your Benched Pokémon. If you do, move as many Energy cards attached to Yanma as you like to the new Active Pokémon.
461	Baton Pass	3	3				30	If you have any Pokémon on your Bench, remove all Energy cards from Ledian and attach them to 1 of those Pokémon, then switch Ledian with that Pokémon.
462	Baton Pass	3	3				50	You may switch Ledian with 1 of your Benched Pokémon. If you do, move as many Energy cards attached to Ledian as you like to the new Active Pokémon.
463	Battle Blast	3	10	10			40+	Does 40 damage plus 10 more damage for each Fighting Energy attached to Breloom."
464	Battle Frenzy	10	10					For each Pokémon in play (yours and your opponent's), flip a coin. For each heads, this attack does 20 damage to that Pokémon. Don't apply Weakness and Resistance for this attack.
465	Bawl	10						You can use this attack only if you go second, and only on your first turn. Your opponent can't play any Trainer cards from their hand during their next turn.
466	Bawl	10					10	Flip a coin. If heads, the Defending Pokémon is now Confused.
467	Bay Dance	10					10	During your next turn, if any of your current Active Pokémon does damage to any Defending Pokémon, the attack does 30 more damage (before applying Weakness and Resistance).
468	Beacon							Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck.
469	Beak Blast	10	10	10			100	Flip a coin. If heads, your opponent's Active Pokémon is now Burned.
470	Beak Catch	10						Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck.
471	Beam	10					10	
472	Beam	10	10	10			40	
473	Beam	5					10	
474	Beam	10	10				60	
475	Beam	8	10				20	
476	Bear Hug	10	10				40	The Defending Pokémon can't retreat during your opponent's next turn.
477	Beast Game-GX	3					50	If your opponent's Pokémon is Knocked Out by damage from this attack, take 1 more Prize card. If this Pokémon has at least 7 extra Energy attached to it (in addition to this attack's cost), take 3 more Prize cards instead. (You can't use more than 1 GX attack in a game.)
478	Beast Raid	10					20×	This attack does 20 damage for each of your Ultra Beasts in play.
479	Beat	10					10	
480	Beat	10	10				20	
481	Beat	10	10				30	
482	Beat	2					10	
483	Beat	3					10	
484	Beat	3	10				20	
485	Beat	3	10				30	
486	Beat	6					10	
487	Beat	7					10	
488	Beat Slider	6	9	10			130	Your opponent switches their Active Pokémon with 1 of their Benched Pokémon.
489	Beat Up	7	7				20×	Flip a coin for each of your Pokémon in play (including this one). This attack does 20 damage times the number of heads.
490	Beat Up	7	7				20×	Flip a coin for each of your Pokémon in play. This attack does 20 damage times the number of heads.
491	Beat Up	7	7	10			20×	Flip a coin for each of your Pokémon in play (including Sneasel ex). This attack does 20 damage times the number of heads.
492	Beat Up	7	7				30×	Flip a coin for each Pokémon you have in play. This attack does 30 damage for each heads.
493	Beatdown	1	10				40+	If the Defending Pokémon is a Darkness Pokémon or has Dark in its name, this attack does 40 damage plus 30 more damage.
494	Beatdown	1	1				40	
495	Beatdown	1	1	1				If the Defending Pokémon has Dark in its name or is a Pokémon, flip a coin. If heads, this attack does 100 damage instead of 50.
496	Beatdown	1					40	
497	Beatdown	1	1	10			120	
498	Beauty-GX	3	3				50×	This attack does 50 damage for each Prize card your opponent has taken. (You can't use more than 1 GX attack in a game.)
499	Bebop Punch	1	1					Choose 1 of your opponent's Pokémon. Flip a coin until you get tails. This attack does 50 damage times the number of heads to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
500	Beckon	5						Put a Supporter card from your discard pile into your hand.
501	Beckon	9						Put a Supporter card from your discard pile into your hand.
502	Bedrock Breaker	1	1	1			130	Discard any Stadium card in play.
503	Bedrock Breaker	1	10	10			120	Discard a Stadium in play.
504	Bedrock Press	1	1	1			100	During your opponent's next turn, any damage done to this Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance).
505	Bedrock Press	1					20	During your opponent's next turn, this Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).
506	Bedrock Shake	1	1	10	10		120	This attack also does 60 damage to each Benched Pokémon that has any damage counters on it (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)
507	Bee Drain	3					20	After your attack, remove from Vespiquen the number of damage counters equal to the damage you did to the Defending Pokémon.
508	Bee Drain	3					20	Heal from this Pokémon the same amount of damage you did to your opponent's Active Pokémon.
509	Bee March	3						Search your deck for up to 3 Combee and put them onto your Bench. Then, shuffle your deck.
510	Bee Powder	3	10				50	Flip 2 coins. If both of them are heads, the Defending Pokémon is now Burned, Paralyzed, and Poisoned.
511	Bell of Silence	5					10	Your opponent can't play any Pokémon that has an Ability from their hand during their next turn.
512	Bellow	10						Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
513	Belly Drum	10						Put 3 damage counters on Poliwhirl. If this doesn't knock out Poliwhirl, search your deck for up to 2 Basic Energy cards and attach them to Poliwhirl. Shuffle your deck afterward.
514	Beloved Pulse	9	10	10			80+	If you played a TAG TEAM Supporter card from your hand during this turn, this attack does 80 more damage.
515	Below Zero	6	10	10			60	If Abomasnow evolved from Snover during this turn, the Defending Pokémon is now Paralyzed.
516	Belt	6	10				20	
517	Belt	10					10	
518	Bemusing Aroma	3					20	Flip a coin. If heads, the Defending Pokémon is now Paralyzed and Poisoned. If tails, the Defending Pokémon is now Confused.
519	Bench Manipulation	5	10	10			40×	Your opponent flips a coin for each of his or her Benched Pokémon. This attack does 40 damage times the number of tails. This attack's damage isn't affected by Weakness or Resistance.
520	Bench Manipulation	5	5	10			20×	Your opponent flips a number of coins equal to the number of Pokémon on his or her Bench. This attack does 20 damage times the number of tails. Don't apply Weakness and Resistance for this attack. (Any other effects that would happen after applying Weakness and Resistance still happen.)
521	Bench Manipulation	5	5	10			40×	Your opponent flips a number of coins equal to the number of his or her Benched Pokémon. This attack does 40 damage times the number of tails. This attack's damage isn't affected by Weakness or Resistance.
522	Bend	5	10				90	Choose 2 random cards from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck.
523	Berry Picking	10						Shuffle up to 5 basic Energy cards from your discard pile into your deck.
524	Berserk	10	10	10			80+	If your Benched Pokémon have any damage counters on them, this attack does 70 more damage.
525	Berserker Blade	7	7	7	7		60	Does 40 damage to 2 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
526	Berserker Splash	6	10	10			80	This attack does 10 damage to each Benched Pokémon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokémon.)
527	Berserker Tackle	10	10				60	This Pokémon does 10 damage to itself.
528	Best Dance	3	10	10			60	After doing damage, remove from Ludicolo the number of damage counters equal to the damage you did to the Defending Pokémon. Ludicolo can't use Best Dance during your next turn.
529	Best Dash	10	10	10	10		150	During your opponent's next turn, any damage done to Slaking by attacks is increased by 50 (after applying Weakness and Resistance).
530	Bewitching Eyes	7						Choose a Supporter card from your opponent's discard pile and use it as the effect of this attack.
531	Bi-Blast	10	10				20+	If Vibrava has any React Energy cards attached to it, this attack does 20 damage plus 20 more damage.
532	Bide	10						Flip a coin. If heads, during your opponent's next turn, if Seedot would be Knocked Out by damage from an attack, Seedot is not Knocked Out and its remaining HP becomes 10 instead.
533	Bide	3						Flip a coin. If heads, if this Pokémon would be Knocked Out by damage from an attack during your opponent's next turn, it is not Knocked Out and its remaining HP becomes 10 instead.
534	Bide	1						Flip a coin. If heads, if this Pokémon would be Knocked Out by damage from an attack during your opponent's next turn, it is not Knocked Out, and its remaining HP becomes 10.
535	Big Bang Horn	3	3	10			180−	This attack does 180 damage minus 10 damage for each damage counter on this Pokémon.
536	Big Bite	10					10	The Defending Pokémon can't retreat until the end of your opponent's next turn.
537	Big Bite	3						The Defending Pokémon can't retreat during your opponent's next turn.
538	Big Bite	3					10	The Defending Pokémon can't retreat during your opponent's next turn.
539	Big Bite	6	10	10			50	The Defending Pokémon can't retreat during your opponent's next turn.
540	Big Bite	6					30	The Defending Pokémon can't retreat during your opponent's next turn.
541	Big Bite	2	10	10			60	The Defending Pokémon can't retreat during your opponent's next turn.
542	Big Bite	10	10				50	During your opponent's next turn, the Defending Pokémon can't retreat.
543	Big Charge	10	10				30+	If you have any Mega Evolution Pokémon on your Bench, this attack does 50 more damage.
544	Big Chorus	6	10	10			30×	Flip a coin for each Water Pokémon you have in play. This attack does 30 damage times the number of heads.
545	Big Counter	10	10	10			60+	If your opponent's Active Pokémon is a TAG TEAM, this attack does 120 more damage.
546	Big Cut	3					10+	If you have exactly 4 Prize cards remaining, this attack does 120 more damage.
547	Big Eater GX	8	10					Your opponent reveals their hand. Discard all Supporter cards you find there. (You can't use more than 1 GX attack in a game.)
548	Big Eater-GX	8	10					Your opponent reveals their hand. Discard all Supporter cards you find there. (You can't use more than 1 GX attack in a game.)
549	Big Eggsplosion	10					20×	Flip a number of coins equal to the number of Energy attached to Exeggutor. This attack does 20 damage times the number of heads.
550	Big Eggsplosion	5					40×	Flip a coin for each Energy attached to Exeggutor. This attack does 40 damage times the number of heads.
551	Big Eggsplosion	5	10				40×	Flip a coin for each Energy attached to Exeggutor. This attack does 40 damage times the number of heads
552	Big Explosion	1	1	10	10			Does 80 damage to each Active Pokémon (both yours and your opponent's).
553	Big Explosion	4	10				50	Voltorb does 50 damage to itself.
554	Big Explosion	4	10				60	This Pokémon does 60 damage to itself.
555	Big Explosion	5	10				50	Drifloon does 50 damage to itself.
556	Big Ol' Bite	8	10	10			30	Heal 30 damage from this Pokémon. The Defending Pokémon can't retreat during your opponent's next turn.
557	Big Storm	10					20	Discard any Stadium card in play.
558	Big Storm	6	6	10	10	10	200	Discard any Stadium in play.
559	Big Swing	2					40	Flip 2 coins. If either of them is tails, this attack does nothing.
560	Big Throw	10	10	10	10			Flip a coin. If heads, discard your opponent's Active Pokémon and all attached cards.
561	Big Tusk	6	6	10	10		120−	This attack does 120 damage minus 10 damage for each damage counter on this Pokémon.
562	Big Wheel-GX	10						Shuffle your hand into your deck. Then, draw 10 cards. (You can't use more than 1 GX attack in a game.)
563	Big Yawn	10						Both this Pokémon and the Defending Pokémon are now Asleep.
564	Big Yawn	10	10					Both Active Pokémon are now Asleep.
565	Big Yawn	6					30	Both Slowbro and the Defending Pokémon are now Asleep.
566	BikaBika	4	10				20+	Flip a coin. If heads, this attack does 20 damage plus 10 more damage.
567	Bind	10						Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
568	Bind	10					10	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
569	Bind	10	10				10	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
570	Bind	10	10				20	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
571	Bind	1	10	10			30	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
572	Bind	1	1				20	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
573	Bind	3	10				20	Flip a coin. If heads the Defending Pokémon is now Paralyzed.
574	Bind	3	10				20	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
575	Bind	8					10	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
576	Bind	5	10				30	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
577	Bind	6					10	Flip a coin. If heads, the Defending Pokémon is now Paralyzed.
578	Bind	3	10				20	Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.
579	Bind	3	10	10			40	Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.
580	Bind	1					30	Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.
581	Bind	1					20	Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.
582	Bind	3	10	10			50	Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.
583	Bind Down	3					30	The Defending Pokémon can't retreat during your opponent's next turn.
584	Bind Down	3					10	The Defending Pokémon can't retreat during your opponent's next turn.
585	Bind Pulse	5					10	During your opponent's next turn, your opponent can't attach any Special Energy cards from his or her hand to any of his or her Pokémon.
586	Bind Wound	10						Heal 20 damage from 1 of your Pokémon.
587	Bind Wound	10	10					Flip a coin. If heads, remove 2 damage counters from 1 of your Pokémon (1 if it has only 1).
588	Bind Wound	10	10					Flip a coin. If heads, heal 30 damage from 1 of your Pokémon.
589	Bite	10					10	
590	Bite	10					20	
591	Bite	10	10				20	
592	Bite	10	10				30	
593	Bite	10	10				40	
594	Bite	10	10				50	
595	Bite	10	10	10			30	
596	Bite	10	10	10			40	
597	Bite	10	10	10			50	
598	Bite	7					10	
599	Bite	7					20	
600	Bite	7					30	
601	Bite	7	10				20	
602	Bite	7	10				30	
603	Bite	7	10	10			30	
604	Bite	9	10	10			40	
605	Bite	1					10	
606	Bite	1	10				20	
607	Bite	1	10	10			30	
608	Bite	1	10	10			50	
609	Bite						10	
610	Bite	3					10	
611	Bite	3	10				20	
612	Bite	3	10				30	
613	Bite	3	10	10			40	
614	Bite	4					20	
615	Bite	4	10				20	
616	Bite	5	10				20	
617	Bite	6	10				20	
618	Bite	6	10	10			40	
619	Bite	10					30	
620	Bite	2					10	
621	Bite	6					10	
622	Bite	6	10	10			60	
623	Bite	1	10				60	
624	Bite	5					10	
625	Bite	5					20	
626	Bite	5					30	
627	Bite	5	5				40	
628	Bite	1	10				30	
629	Bite	7					40	
630	Bite and Crush	10	10	10			30+	Flip 2 coins. This attack does 30 damage plus 10 more damage for each heads.
631	Bite and Escape	5					20	You may switch Seviper with 1 of your Benched Pokémon.
632	Bite and Run						10	Switch Dunsparce with 1 of your Benched Pokémon.
633	Bite Away	7	10				20	Flip a coin. If heads, choose a card from your opponent's hand without looking and discard it.
634	Bite Off	10	10	10			60+	If your opponent's Active Pokémon is a Pokémon-EX, this attack does 60 more damage.
635	Bite Off	7	10	10			40+	If the Defending Pokémon is Pokémon-ex, this attack does 40 damage plus 40 more damage.
636	Bite Off	7	7	10	10	10	70+	If the Defending Pokémon is Pokémon-ex, this attack does 70 damage plus 50 more damage.
637	Bite Off	3	10	10			30	If the Defending Pokémon is Pokémon-ex, this attack does 30 damage plus 30 more damage.
638	Bite Off	8	10				20+	If the Defending Pokémon is Pokémon-ex, this attack does 20 damage plus 30 more damage.
639	Bite Off	6	10	10			40+	If the Defending Pokémon is Pokémon-ex, this attack does 40 damage plus 30 more damage.
640	Bite Off	1	1				80+	If your opponent's Active Pokémon is a Pokémon-EX, this attack does 80 more damage.
641	Bite Off	8	10				20+	If your opponent's Active Pokémon is a Pokémon-GX or a Pokémon-EX, this attack does 30 more damage (before applying Weakness and Resistance).
642	Bite Off	7	10	10	10		130+	If your opponent's Active Pokémon is a Pokémon-GX or a Pokémon-{EX}, this attack does 100 more damage.
643	Bite On	7					30	If the Defending Pokémon isn't an Evolved Pokémon, that Pokémon can't attack, retreat, or use any Poké-Powers during your opponent's next turn.
644	Bite Together	3	10				30+	If Durant is on your Bench, this attack does 60 more damage.
645	Biting Fang	10					10+	Flip a coin. If heads, this attack does 10 damage plus 20 more damage.
646	Black Cry	10					20	The Defending Pokémon can't retreat or use any Poké-Powers during your opponent's next turn.
647	Black Cry	7	10				20	The Defending Pokémon can't retreat or use any Poké-Powers during your opponent's next turn.
648	Black Fang	7	10	10			30+	Flip a number of coins equal to the number of Energy attached to Houndoom. This attack does 30 damage plus 10 more damage for each heads.
649	Black Fire	2	10				40+	You may discard a Fire or Darkness Energy attached to Houndoom. If you discard a Fire Energy, the Defending Pokémon is now Burned. If you discard a Darkness Energy, this attack does 40 damage plus 30 more damage.
650	Black Lance	7	7	10			150	This attack does 60 damage to 1 of your opponent's Benched Pokémon-GX or Benched Pokémon-EX. (Don't apply Weakness and Resistance for Benched Pokémon.)
651	Black Magic	5	10				20×	Does 20 damage times the number of your opponent's Benched Pokémon.
652	Black Magic	5	10	10			10+	Does 10 damage plus 20 more damage times the number of your opponent's Benched Pokémon.
653	Black Magic	5	10	10			40+	Does 20 more damage for each of your opponent's Benched Pokémon.
654	Black Ray-GX	10	10	10				This attack does 100 damage to each of your opponent's Pokémon-GX and Pokémon-EX. This damage isn't affected by Weakness or Resistance. (You can't use more than 1 GX attack in a game.)
655	Black Soot	2	10				30	Flip a coin. If heads, the Defending Pokémon is now Burned and Paralyzed.
656	Black Suction Cups	6						Does 10 damage to each Defending Pokémon. Flip a coin. If heads, each Defending Pokémon is now Paralyzed.
657	Blade Arms	7	10	10			70	
658	Blade Arms	2	2	10			60	
659	Blade Arms	3	3	10			40	
660	Blade-GX	8						Take a Prize card. (You can't use more than 1 GX attack in a game.)
661	Blast Burn	2	2	2	10		120	Flip a coin. If heads, discard 2 Energy cards attached to Charizard. If tails, discard 4 Energy cards attached to Charizard. (If you can't, this attack does nothing.)
662	Blast Geyser	10	10	10	10		120+	You may do 20 more damage for each Water Energy attached to this Pokémon. If you do, discard the top 2 cards of your deck.
663	Blaster-GX	8	10	10	10		180	Turn all of your Prize cards face up. (Those Prize cards remain face up for the rest of the game.) (You can't use more than 1 GX attack in a game.)
664	Blasting Wind	10	10	10	10		110	
665	Blasting Wind	10	10	10			120	
666	Blasting Wind	3	3	10			130	
667	Blaze	2	2				20	Does 10 damage to each Pokémon on your opponent's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.)
668	Blaze Ball	10	10	10			50+	This attack does 20 more damage for each Fire Energy attached to this Pokémon.
669	Blaze Kick	2	10				30+	Flip a coin. If heads, this attack does 30 damage plus 20 more damage. If tails, this attack does 30 damage and the Defending Pokémon is now Burned.
670	Blaze Kick	2	10				40+	Flip a coin. If heads, this attack does 30 more damage. If tails, the Defending Pokémon is now Burned.
671	Blaze Kick	2	2	10			40+	Flip a coin. If heads, this attack does 40 damage plus 20 more damage. If tails, the Defending Pokémon is now Burned.
672	Blaze Out-GX	2						Discard 2 Energy from your opponent's Pokémon. (You can't use more than 1 GX attack in a game.)
673	Blaze Roar	2	2	2			60	Does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) Flip a coin. If tails, discard 2 Fire Energy attached to Entei.
674	Blaze Up	2	2	10			50	Flip a coin. If tails, discard a Fire Energy attached to Rapidash and this attack does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
675	Blazer	2					10+	Turn 1 of your face-down Prize cards face up. If it's a Fire Energy card, this attack does 50 more damage. (That Prize card remains face up for the rest of the game.)
676	Blazing Claws	7	10	10			60+	If the Defending Pokémon is a Team Plasma Pokémon, this attack does 60 more damage, and the Defending Pokémon is now Burned.
677	Bleh	5						Discard a Special Energy attached to 1 of your opponent's Pokémon.
678	Blend Pollen	3	10				40+	Does 40 damage plus 20 more damage for each Vileplume and each Bellossom you have in play. Flip a coin. If heads, the Defending Pokémon is now Burned.
679	Blessed Fruit	3	3					Remove all damage counters from 1 of your Benched Grass Pokémon.
680	Blessed Wings	10	10					Remove all damage counters from each of your Pokémon. Shuffle Togekiss and all cards attached to it back into your deck.
681	Blessing of Fluff	10						Search your deck for up to 3 Grass Energy cards and attach them to your Benched Pokémon in any way you like. Then, shuffle your deck.
682	Blind	7					10	If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.
